x,kt2,mu2,time_per_call_ns
0.4,500,100,1009
0.4,500,200,1074
0.4,500,500,1060
0.4,500,1000,986
0.4,500,2000,1071
0.4,500,5000,1098
0.4,1000,4,1004
0.4,1000,5,1045
0.4,1000,10,1085
0.4,1000,20,1074
0.4,1000,50,1069
0.4,1000,100,985
0.4,1000,200,1099
0.4,1000,500,1420
0.4,1000,1000,1047
0.4,1000,2000,1088
0.4,1000,5000,1100
0.4,2000,4,972
0.4,2000,5,980
0.4,2000,10,916
0.4,2000,20,1014
0.4,2000,50,956
0.4,2000,100,872
0.4,2000,200,1102
0.4,2000,500,1006
0.4,2000,1000,954
0.4,2000,2000,1038
0.4,2000,5000,1037
0.4,5000,4,1103
0.4,5000,5,1052
0.4,5000,10,975
0.4,5000,20,1068
0.4,5000,50,1090
0.4,5000,100,993
0.4,5000,200,1078
0.4,5000,500,1030
0.4,5000,1000,1004
0.4,5000,2000,1156
0.4,5000,5000,1436
0.5,1,4,1032
0.5,1,5,1040
0.5,1,10,1039
0.5,1,20,1139
0.5,1,50,1058
0.5,1,100,945
0.5,1,200,1068
0.5,1,500,1066
0.5,1,1000,965
0.5,1,2000,1106
0.5,1,5000,1126
0.5,2,4,956
0.5,2,5,1082
0.5,2,10,1343
0.5,2,20,2124
0.5,2,50,973
0.5,2,100,1012
0.5,2,200,1066
0.5,2,500,978
0.5,2,1000,940
0.5,2,2000,1007
0.5,2,5000,1068
0.5,5,4,1347
0.5,5,5,1109
0.5,5,10,1011
0.5,5,20,1114
0.5,5,50,1076
0.5,5,100,989
0.5,5,200,1109
0.5,5,500,1078
0.5,5,1000,1135
0.5,5,2000,1114
0.5,5,5000,1112
0.5,10,4,1025
0.5,10,5,1051
0.5,10,10,947
0.5,10,20,1029
0.5,10,50,1021
0.5,10,100,913
0.5,10,200,1050
0.5,10,500,1088
0.5,10,1000,952
0.5,10,2000,1076
0.5,10,5000,1079
0.5,20,4,1060
0.5,20,5,1091
0.5,20,10,1187
0.5,20,20,1209
0.5,20,50,1040
0.5,20,100,1125
0.5,20,200,1084
0.5,20,500,1027
0.5,20,1000,972
0.5,20,2000,1147
0.5,20,5000,1090
0.5,50,4,1028
0.5,50,5,1070
0.5,50,10,1031
0.5,50,20,1192
0.5,50,50,1070
0.5,50,100,980
0.5,50,200,1074
0.5,50,500,1067
0.5,50,1000,1041
0.5,50,2000,31343
0.5,50,5000,1087
0.5,100,4,976
0.5,100,5,1045
0.5,100,10,988
0.5,100,20,1053
0.5,100,50,1240
0.5,100,100,1083
0.5,100,200,1190
0.5,100,500,1037
0.5,100,1000,966
0.5,100,2000,1057
0.5,100,5000,1089
0.5,200,4,1022
0.5,200,5,1040
0.5,200,10,972
0.5,200,20,1069
0.5,200,50,1086
0.5,200,100,1007
0.5,200,200,1087
0.5,200,500,1065
0.5,200,1000,995
0.5,200,2000,1115
0.5,200,5000,1121
0.5,500,4,1017
0.5,500,5,1017
0.5,500,10,966
0.5,500,20,1073
0.5,500,50,1032
0.5,500,100,932
0.5,500,200,1065
0.5,500,500,1365
0.5,500,1000,1035
0.5,500,2000,1070
0.5,500,5000,1128
0.5,1000,4,1017
0.5,1000,5,1114
0.5,1000,10,1054
0.5,1000,20,1083
0.5,1000,50,1052
0.5,1000,100,957
0.5,1000,200,1084
0.5,1000,500,1072
0.5,1000,1000,1006
0.5,1000,2000,1096
0.5,1000,5000,1109
0.5,2000,4,1043
0.5,2000,5,996
0.5,2000,10,949
0.5,2000,20,993
0.5,2000,50,965
0.5,2000,100,1031
0.5,2000,200,1029
0.5,2000,500,1001
0.5,2000,1000,949
0.5,2000,2000,1204
0.5,2000,5000,1182
0.5,5000,4,1009
0.5,5000,5,1032
0.5,5000,10,1000
0.5,5000,20,1081
0.5,5000,50,1055
0.5,5000,100,930
0.5,5000,200,1114
0.5,5000,500,1058
0.5,5000,1000,1158
0.5,5000,2000,1072
0.5,5000,5000,1082
0.6,1,4,1010
0.6,1,5,1059
0.6,1,10,1001
0.6,1,20,1064
0.6,1,50,1038
0.6,1,100,933
0.6,1,200,1103
0.6,1,500,1040
0.6,1,1000,1037
0.6,1,2000,1105
0.6,1,5000,1092
0.6,2,4,1049
0.6,2,5,1205
0.6,2,10,940
0.6,2,20,1019
0.6,2,50,977
0.6,2,100,900
0.6,2,200,1021
0.6,2,500,971
0.6,2,1000,922
0.6,2,2000,1032
0.6,2,5000,1055
0.6,5,4,1039
0.6,5,5,1075
0.6,5,10,1007
0.6,5,20,1096
0.6,5,50,1155
0.6,5,100,973
0.6,5,200,1066
0.6,5,500,1069
0.6,5,1000,1002
0.6,5,2000,1110
0.6,5,5000,1123
0.6,10,4,987
0.6,10,5,1008
0.6,10,10,993
0.6,10,20,1124
0.6,10,50,1267
0.6,10,100,922
0.6,10,200,1090
0.6,10,500,1155
