x,kt2,mu2,time_per_call_ns
0.5,2,500,3917
0.5,2,1000,3844
0.5,2,2000,4379
0.5,2,5000,3860
0.5,5,4,3831
0.5,5,5,3810
0.5,5,10,3841
0.5,5,20,3901
0.5,5,50,4347
0.5,5,100,4250
0.5,5,200,4072
0.5,5,500,3953
0.5,5,1000,3807
0.5,5,2000,3774
0.5,5,5000,3883
0.5,10,4,4271
0.5,10,5,4098
0.5,10,10,3874
0.5,10,20,3902
0.5,10,50,4083
0.5,10,100,3792
0.5,10,200,4324
0.5,10,500,4035
0.5,10,1000,3829
0.5,10,2000,3804
0.5,10,5000,3974
0.5,20,4,4129
0.5,20,5,3834
0.5,20,10,4230
0.5,20,20,4169
0.5,20,50,4027
0.5,20,100,3930
0.5,20,200,3835
0.5,20,500,3803
0.5,20,1000,4162
0.5,20,2000,3857
0.5,20,5000,3984
0.5,50,4,3943
0.5,50,5,3800
0.5,50,10,3697
0.5,50,20,3999
0.5,50,50,4357
0.5,50,100,3842
0.5,50,200,3757
0.5,50,500,3981
0.5,50,1000,4078
0.5,50,2000,3787
0.5,50,5000,4462
0.5,100,4,3665
0.5,100,5,3778
0.5,100,10,3598
0.5,100,20,3832
0.5,100,50,3738
0.5,100,100,3874
0.5,100,200,4064
0.5,100,500,3856
0.5,100,1000,3863
0.5,100,2000,3710
0.5,100,5000,3745
0.5,200,4,3755
0.5,200,5,4224
0.5,200,10,3705
0.5,200,20,3742
0.5,200,50,3813
0.5,200,100,4117
0.5,200,200,33273
0.5,200,500,3686
0.5,200,1000,4108
0.5,200,2000,3987
0.5,200,5000,3752
0.5,500,4,3660
0.5,500,5,3832
0.5,500,10,3759
0.5,500,20,3799
0.5,500,50,4155
0.5,500,100,4188
0.5,500,200,3752
0.5,500,500,3792
0.5,500,1000,3829
0.5,500,2000,3822
0.5,500,5000,4213
0.5,1000,4,3813
0.5,1000,5,3785
0.5,1000,10,3838
0.5,1000,20,3798
0.5,1000,50,3846
0.5,1000,100,3948
0.5,1000,200,4140
0.5,1000,500,3715
0.5,1000,1000,3873
0.5,1000,2000,3911
0.5,1000,5000,3807
0.5,2000,4,3760
0.5,2000,5,4379
0.5,2000,10,3912
0.5,2000,20,3982
0.5,2000,50,3798
0.5,2000,100,3866
0.5,2000,200,4128
0.5,2000,500,3710
0.5,2000,1000,4517
0.5,2000,2000,3815
0.5,2000,5000,3830
0.5,5000,4,3756
0.5,5000,5,3840
0.5,5000,10,3707
0.5,5000,20,4499
0.5,5000,50,3833
0.5,5000,100,3942
0.5,5000,200,3896
0.5,5000,500,3708
